degree,elements_per_axis,method,unknowns,constraints,optimizer_iterations,optimizer_success,energy,l2_error,h1_seminorm_error,minimum_coefficient,minimum_dense_solution,maximum_constraint_violation
3,3,unconstrained,64,0,0,True,-2111.456856159992,13.818530981650818,64.8604943031511,-38.510487329552326,-33.800511128450985,0.0
3,3,bernstein_coefficients,64,64,3,True,-6.565771437999057,0.0531129790719219,1.1280411009074078,0.0,0.0,0.0
3,3,subdivided_bernstein_L1,64,289,37,True,-6.565771437999644,0.0531129790719215,1.128041100907412,-2.6090241078691182e-14,-7.993605777301127e-15,9.520162436160716e-15
3,3,gll_nodes,64,64,25,True,-9.336155739940695,0.0754525938819041,1.35947293432178,-0.7932408813538299,-0.1191841190355182,3.894081399391386e-15
4,3,unconstrained,121,0,0,True,-2113.506542842935,13.82072442486829,64.90015593138787,-39.426156733633285,-33.79005882709773,0.0
4,3,bernstein_coefficients,121,121,3,True,-7.46476814100936,0.0133803573388449,0.3238127323135545,0.0,0.0,0.0
4,3,subdivided_bernstein_L1,121,529,66,True,-7.473416279259182,0.0135278018191801,0.2869457030053675,-0.0957337435698096,-1.8377481914716445e-14,2.8199664825478976e-14
4,3,gll_nodes,121,121,38,True,-8.051475090020842,0.0570504819892212,0.9772247777534072,-0.5460299285804285,-0.0351265961773289,3.95516952522712e-15
