radial_intervals,angular_intervals,vertices,displacement_unknowns,constraints,pdas_iterations,kkt_residual,exact_contact_half_width,estimated_contact_half_width,contact_half_width_error,total_half_reaction,reaction_error,minimum_gap_coefficient,maximum_boundary_radius_error
4,40,165,1209,81,13,1.900701818158268e-13,0.07611333607551958,0.06866494968951699,0.007448386386002592,0.49999999999980743,1.925681836212334e-13,0.0,4.644364781647425e-09
6,60,367,2773,121,13,3.5493655945942845e-13,0.07611333607551958,0.07193111247899403,0.00418222359652555,0.4999999999981082,1.8918200339612667e-12,0.0,9.174383475141212e-10
8,80,649,4977,161,14,6.160072452132681e-13,0.07611333607551958,0.07356367730610938,0.0025496587694101985,0.5000000000004163,4.163336342344337e-13,0.0,2.9028690562427073e-10
12,120,1453,11305,241,14,9.868217354380704e-13,0.07611333607551958,0.0751958744422822,0.0009174616332373736,0.4999999999971988,2.8012037134317325e-12,-2.168404344971009e-18,5.7341242865049935e-11
16,160,2577,20193,321,13,1.1004530620084552e-12,0.07611333607551958,0.07601182966375622,0.00010150641176336073,0.5000000000013629,1.3629097850298422e-12,-3.903127820947816e-18,1.8143264668424308e-11
