degree,elements_per_axis,unknowns,total_control_coefficients,pdas_iterations,active_coefficients,kkt_residual,l2_error,h1_seminorm_error,minimum_coefficient,minimum_sampled_solution,total_contact_force,exact_contact_volume,contact_force_error
1,4,27,125,2,27,0.0,0.1041033552171922,1.2779172336191003,0.0,0.0,43.28458705366907,44.602238100565486,1.3176510468964153
1,6,125,343,2,57,2.7755575615628914e-17,0.04934496432393875,0.9526320685826157,0.0,0.0,44.39628661187826,44.602238100565486,0.20595148868722646
2,4,343,729,2,117,3.469446951953614e-17,0.017348197032706993,0.502549501026227,0.0,6.5040222084060675e-12,44.225361641368956,44.602238100565486,0.3768764591965308
2,6,1331,2197,4,281,8.673617379884035e-17,0.006777640285487152,0.25551928794819145,0.0,0.0,44.72334253132415,44.602238100565486,0.12110443075866328
3,4,1331,2197,4,437,3.469446951953614e-17,0.008282152412406815,0.15540466331245067,0.0,1.3455516033198482e-14,43.4749027364104,44.602238100565486,1.127335364155087
