degree,coefficients,l2_pressure_error,linf_pressure_error,minimum_coefficient,minimum_dense_pressure,maximum_dense_pressure,endpoint_pressure_left,endpoint_pressure_right,exact_resultant_force,computed_resultant_force,force_absolute_error,slsqp_iterations,active_set_iterations,active_set_kkt_residual,optimizer_coefficient_linf_difference,optimizer_pressure_linf_difference,optimizer_objective_difference,slsqp_success,active_set_success
4,5,0.07342866012209064,0.1321259077075882,0.0,0.0,0.9817477042468103,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,6,2,0.0,4.6629367034256575e-15,1.9984014443252818e-15,0.0,True,True
6,7,0.04571005933435226,0.1074085962559515,0.0,0.0,1.0051860403491926,0.0,0.0,1.5707963267948966,1.5707963267948968,2.220446049250313e-16,13,3,0.0,3.1903493180607256e-09,6.978888578146325e-10,5.551115123125783e-17,True,True
8,9,0.03293195875607969,0.09075182102005402,0.0,0.0,1.0104238924040876,0.0,0.0,1.5707963267948966,1.5707963267948963,2.220446049250313e-16,21,5,0.0,2.0840250158915552e-07,2.641406715575556e-08,0.0,True,True
10,11,0.024756816444008144,0.07860371204086111,0.0,0.0,0.9975439034861573,0.0,0.0,1.5707963267948966,1.5707963267948963,2.220446049250313e-16,36,5,0.0,2.6181448667950136e-06,6.338658620208548e-08,1.0547118733938987e-15,True,True
12,13,0.020319453929428438,0.07199230192596183,0.0,0.0,1.0009082920281673,0.0,0.0,1.5707963267948966,1.5707963267948963,2.220446049250313e-16,42,11,0.0,6.220889026131715e-07,2.525666846775465e-07,1.1657341758564144e-14,True,True
16,17,0.014732738952076227,0.06139539452672793,0.0,0.0,1.0019851472820671,0.0,0.0,1.5707963267948966,1.5707963267948968,2.220446049250313e-16,87,14,0.0,3.324749798583326e-05,1.0801190407083716e-06,2.0544677070688522e-13,True,True
20,21,0.011489606580006181,0.05424069150849215,0.0,0.0,1.0006463968833317,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,162,21,0.0,0.0014428783706389448,1.5399783974023862e-05,4.67382799129723e-11,True,True
24,25,0.009441646290791365,0.04916291706128922,0.0,0.0,1.0010937633608892,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,194,22,3.552713678800501e-15,0.004598400831826388,3.130790080235757e-05,1.533528304342724e-10,True,True
