radial_intervals,angular_intervals,vertices,triangles,scalar_control_dofs,displacement_unknowns,pdas_iterations,kkt_residual,exact_contact_half_width,bracketed_contact_half_width,bracketed_half_width_error,fitted_contact_half_width,fitted_half_width_error,pressure_l2_error,pressure_linf_error,total_half_reaction,expected_half_reaction,reaction_absolute_error,minimum_gap_coefficient,minimum_reaction,active_gap_coefficients,maximum_boundary_radius_error,minimum_jacobian_determinant
4,40,165,280,609,1209,13,3.552713678800501e-14,0.07611333607551958,0.06867062364338307,0.007442712432136511,0.07216374161770377,0.003949594457815814,0.2429865886522124,1.789579487078182,0.500000000000011,0.5,1.099120794378905e-14,0.0,-2.6645352591003757e-15,4,4.5518351310391836e-09,0.0024537384849417023
6,60,367,660,1393,2773,13,1.438849039914203e-13,0.07611333607551958,0.0719339141013683,0.004179421974151276,0.07421534819635042,0.001897987879169158,0.16600048425682556,1.1963387960940803,0.499999999999502,0.5,4.97990537695614e-13,0.0,-3.552713678800501e-15,6,8.99160190748205e-10,0.0007271374529964063
8,80,649,1200,2497,4977,14,2.3803181647963356e-13,0.07611333607551958,0.07356533190353777,0.0025480041719818103,0.07429021593487159,0.0018231201406479908,0.1618006367823704,0.937265846371659,0.49999999999899997,0.5,1.0000333894311098e-12,0.0,-5.329070518200751e-15,8,2.8450364286669583e-10,0.0003067764446972695
12,120,1453,2760,5665,11305,14,2.5934809855243657e-13,0.07611333607551958,0.0751966447811449,0.0009166912943746747,0.07475981748182818,0.0013535185936913996,0.11417838945569873,0.6177386644199103,0.4999999999976571,0.5,2.342903648866468e-12,0.0,-4.440892098500626e-15,12,5.619882337271065e-11,9.089996924541362e-05
16,160,2577,4960,10113,20193,13,5.115907697472721e-13,0.07611333607551958,0.07601227281053527,0.00010106326498431073,0.07517144966624596,0.0009418864092736179,0.08818218077803021,0.6037190268030521,0.4999999999898065,0.5,1.0193512700595875e-11,0.0,-5.773159728050814e-15,16,1.7781776051606357e-11,3.8348903660710096e-05
