radial_intervals,angular_intervals,vertices,triangles,displacement_unknowns,pdas_iterations,kkt_residual,exact_contact_half_width,estimated_contact_half_width,contact_half_width_absolute_error,pressure_l2_error,pressure_linf_error,total_half_reaction,expected_half_reaction,reaction_absolute_error,minimum_gap,minimum_reaction,contact_nodes
8,80,649,1200,1289,17,3.3460040294031046e-13,0.07611333607551958,0.06866494968951699,0.007448386386002592,0.6069651425771568,3.218745124491328,0.5000000000004731,0.5,4.730660307927792e-13,0.0,-5.329070518200751e-15,4
12,120,1453,2760,2893,18,5.173500516875151e-13,0.07611333607551958,0.058869542736543504,0.017243793338976077,0.5848828278338428,4.27819940671654,0.4999999999999527,0.5,4.729550084903167e-14,0.0,-7.105427357601002e-15,5
16,160,2577,4960,5137,19,5.055122986874494e-13,0.07611333607551958,0.06376953126778137,0.01234380480773821,0.4660911397978234,3.607861758636384,0.5000000000000632,0.5,6.317169010117141e-14,0.0,-8.881784197001252e-15,7
24,240,5785,11280,11545,18,8.110734306399081e-13,0.07611333607551958,0.06866789119343122,0.007445444882088356,0.3663022366321846,2.7338869115183733,0.49999999998538447,0.5,1.4615531007677873e-11,0.0,-8.881784197001252e-15,11
32,320,10273,20160,20513,18,9.664630207240066e-13,0.07611333607551958,0.07111641124202062,0.004996924833498964,0.32299318399639604,2.146362055967716,0.49999999998048583,0.5,1.951416805923145e-11,0.0,-1.0658141036401503e-14,15
