radial_intervals,angular_intervals,vertices,triangles,scalar_control_dofs,displacement_unknowns,pdas_iterations,kkt_residual,exact_contact_half_width,estimated_contact_half_width,contact_half_width_absolute_error,pressure_l2_error,pressure_linf_error,total_half_reaction,expected_half_reaction,reaction_absolute_error,minimum_gap_coefficient,minimum_reaction,contact_control_coefficients
4,40,165,280,609,1209,13,4.1744385725905886e-14,0.07611333607551958,0.06865927573565092,0.0074540603398686595,0.684719881944024,3.0090266510417543,0.49999999999995626,0.5,4.374278717023117e-14,0.0,-3.9968028886505635e-15,4
6,60,367,660,1393,2773,13,2.220446049250313e-13,0.07611333607551958,0.07192831085661974,0.004185025218899838,0.47713593736677695,2.3830116765301543,0.5000000000003392,0.5,3.391731340229853e-13,0.0,-3.552713678800501e-15,6
8,80,649,1200,2497,4977,14,2.4868995751603507e-13,0.07611333607551958,0.073562022708681,0.0025513133668385868,0.38310661186735295,2.0656491911646278,0.49999999999929423,0.5,7.05768776754212e-13,0.0,-4.440892098500626e-15,8
12,120,1453,2760,5665,11305,14,3.268496584496461e-13,0.07611333607551958,0.07519510410341951,0.0009182319721000726,0.25863316142309156,1.5828386033098312,0.4999999999972547,0.5,2.745303984141856e-12,0.0,-1.509903313490213e-14,12
16,160,2577,4960,10113,20193,15,4.831690603168681e-13,0.07611333607551958,0.0760113865169772,0.00010194955854238297,0.20493664632503653,1.4284003496124156,0.49999999998960765,0.5,1.039235364430624e-11,0.0,-1.0658141036401503e-14,16
