angular_intervals,displacement_unknowns,bracketed_half_width_error,pressure_fitted_half_width_error,pressure_l2_error,reaction_error,minimum_gap_coefficient
145,18303,0.003054958451705947,0.00035444657243305366,0.1103,1.18e-11,0.0
155,19563,0.002345995245642149,0.0008384645866159196,0.09735,1.17e-11,0.0
160,20193,0.00010106326498431073,0.0009418864092736179,0.08818,1.02e-11,0.0
165,20823,0.0024002313593393804,0.00002711860498207097,0.09074,6.69e-12,0.0
170,21453,0.000042894188717931825,0.001832,0.1381,1.62e-11,0.0
